state_abbr,jackpot_win_per_state,state_draw_sales,state_jack_winnings,state_winnings,ticket_sales
AR,0.0,237126071.0,0.0,31343057.0,143900934.0
AZ,4.0,867391875.0,636.75,809546611.0,516084786.5
CA,8.0,2426413996.0,2073.9666666666667,2545572855.6666665,1213206998.0
CO,2.0,555793827.0,223.2,294696602.0,330274690.0
CT,2.0,554113590.0,314.0,423158925.0,325917559.5
DC,0.0,171283270.0,0.0,24697046.0,98070851.0
DE,3.0,190293992.0,188.26666666666665,224381435.66666666,114867902.0
FL,11.0,3450225161.0,2059.333333333333,2707658062.333333,2053648777.0
GA,4.0,1000052835.0,457.0,681072001.0,573561415.0
IA,2.0,418982270.0,441.0,510869726.0,249111203.5
ID,0.0,249774520.0,0.0,51124461.0,150842237.0
IL,2.0,1177650733.0,68.5,306150323.0,680743579.0
IN,3.0,761447041.0,693.0,835849729.0,452985471.0
KS,1.0,309893906.0,50.0,123082426.0,185051638.0
KY,1.0,612472181.0,18.5,152255734.0,372147703.0
LA,3.0,733413493.0,292.66666666666663,441586556.6666667,448658006.0
MA,4.0,822098780.0,894.7,1061226234.0,468327823.5
MD,2.0,746432461.0,232.0,383278171.0,428034657.5
ME,0.0,142280714.0,0.0,16034649.0,84959654.0
MI,3.0,982279523.0,753.5,938583769.0,565032706.0
MN,2.0,600546046.0,377.4666666666667,500054692.6666666,361968344.0
MO,6.0,767541387.0,994.75,1165462836.0,460424060.0
MT,1.0,103667715.0,48.5,63521167.0,63169939.0
NC,1.0,1090264111.0,188.03333333333333,377287971.3333334,652101676.0
ND,0.0,84401795.0,0.0,12954638.0,49163736.0
NE,1.0,291295067.0,61.0,125312896.0,174513704.0
NH,1.0,255685791.0,487.0,543069216.0,152443930.0
NJ,7.0,1599731687.0,1369.5333333333333,1697644404.3333333,923428930.0
NM,0.0,242796245.0,0.0,54253937.0,146859925.0
NY,6.0,2780351912.0,704.0,1320962785.0,1600932402.0
OH,3.0,917691535.0,430.5,588289842.0,520315044.0
OK,0.0,369262849.0,0.0,49048240.0,223759334.0
OR,0.0,328936200.0,0.0,62179597.0,193758110.5
PA,4.0,2043134826.0,410.0,773114744.0,1211981337.0
PR,2.0,194869736.0,238.03333333333333,242779205.33333334,97434868.0
RI,2.0,227640331.0,385.0,431657726.0,138453417.0
SC,1.0,608810653.0,400.0,490918375.0,365503518.0
SD,0.0,111762973.0,0.0,17189156.0,67390728.5
TN,5.0,739330834.0,1398.6666666666665,1509427309.6666665,442791397.5
TX,2.0,1837266703.0,228.03333333333333,532256296.3333334,1019575819.0
VA,1.0,804778721.0,217.0,368443288.0,460354568.0
VI,0.0,18024721.0,0.0,748007.0,10970165.0
VT,0.0,64019744.0,0.0,9244832.0,38032565.0
WA,1.0,444055906.0,90.0,173430046.0,254940553.0
WI,1.0,646318860.0,155.0,281831594.0,382093526.0
WV,0.0,97506408.0,0.0,14982019.0,48753204.0
WY,0.0,26562958.0,0.0,2948504.0,13281479.0
